jurisdiction,number_of_deaths,year,week,last_week
Alabama,1077,2020,1,39
Alabama,1124,2020,2,39
Alabama,1038,2020,3,39
Alabama,1053,2020,4,39
Alabama,1024,2020,5,39
Alabama,1117,2020,6,39
Alabama,1093,2020,7,39
Alabama,1096,2020,8,39
Alabama,1161,2020,9,39
Alabama,1053,2020,10,39
Alabama,1086,2020,11,39
Alabama,1056,2020,12,39
Alabama,1070,2020,13,39
Alabama,1153,2020,14,39
Alabama,1131,2020,15,39
Alabama,1138,2020,16,39
Alabama,1133,2020,17,39
Alabama,1146,2020,18,39
Alabama,1161,2020,19,39
Alabama,1141,2020,20,39
Alabama,1143,2020,21,39
Alabama,1098,2020,22,39
Alabama,1158,2020,23,39
Alabama,1130,2020,24,39
Alabama,1077,2020,25,39
Alabama,1136,2020,26,39
Alabama,1183,2020,27,39
Alabama,1242,2020,28,39
Alabama,1262,2020,29,39
Alabama,1304,2020,30,39
Alabama,1333,2020,31,39
Alabama,1320,2020,32,39
Alabama,1248,2020,33,39
Alabama,1215,2020,34,39
Alabama,1091,2020,35,39
Alabama,1035,2020,36,39
Alabama,955,2020,37,39
Alabama,701,2020,38,39
Alabama,234,2020,39,39
Alaska,89,2020,1,39
Alaska,105,2020,2,39
Alaska,99,2020,3,39
Alaska,97,2020,4,39
Alaska,85,2020,5,39
Alaska,95,2020,6,39
Alaska,89,2020,7,39
Alaska,83,2020,8,39
Alaska,84,2020,9,39
Alaska,79,2020,10,39
Alaska,92,2020,11,39
Alaska,69,2020,12,39
Alaska,86,2020,13,39
Alaska,98,2020,14,39
Alaska,83,2020,15,39
Alaska,80,2020,16,39
Alaska,62,2020,17,39
Alaska,87,2020,18,39
Alaska,89,2020,19,39
Alaska,82,2020,20,39
Alaska,80,2020,21,39
Alaska,97,2020,22,39
Alaska,77,2020,23,39
Alaska,88,2020,24,39
Alaska,88,2020,25,39
Alaska,86,2020,26,39
Alaska,82,2020,27,39
Alaska,96,2020,28,39
Alaska,85,2020,29,39
Alaska,84,2020,30,39
Alaska,108,2020,31,39
Alaska,93,2020,32,39
Alaska,62,2020,33,39
Alaska,86,2020,34,39
Alaska,71,2020,35,39
Alaska,67,2020,36,39
Alaska,35,2020,37,39
Alaska,29,2020,38,39
Alaska,,2020,39,39
Arizona,1299,2020,1,39
Arizona,1390,2020,2,39
Arizona,1315,2020,3,39
Arizona,1275,2020,4,39
Arizona,1265,2020,5,39
Arizona,1263,2020,6,39
Arizona,1311,2020,7,39
Arizona,1341,2020,8,39
Arizona,1352,2020,9,39
Arizona,1379,2020,10,39
Arizona,1349,2020,11,39
Arizona,1289,2020,12,39
Arizona,1323,2020,13,39
Arizona,1356,2020,14,39
Arizona,1402,2020,15,39
Arizona,1316,2020,16,39
Arizona,1383,2020,17,39
Arizona,1398,2020,18,39
Arizona,1427,2020,19,39
Arizona,1305,2020,20,39
Arizona,1289,2020,21,39
Arizona,1310,2020,22,39
Arizona,1398,2020,23,39
Arizona,1461,2020,24,39
Arizona,1546,2020,25,39
Arizona,1613,2020,26,39
Arizona,1772,2020,27,39
Arizona,1947,2020,28,39
Arizona,1982,2020,29,39
Arizona,1843,2020,30,39
Arizona,1783,2020,31,39
Arizona,1574,2020,32,39
Arizona,1507,2020,33,39
Arizona,1475,2020,34,39
Arizona,1425,2020,35,39
Arizona,1244,2020,36,39
Arizona,1212,2020,37,39
Arizona,1043,2020,38,39
Arizona,444,2020,39,39
Arkansas,672,2020,1,39
Arkansas,685,2020,2,39
Arkansas,658,2020,3,39
Arkansas,616,2020,4,39
Arkansas,681,2020,5,39
Arkansas,672,2020,6,39
Arkansas,688,2020,7,39
Arkansas,695,2020,8,39
Arkansas,656,2020,9,39
Arkansas,696,2020,10,39
Arkansas,628,2020,11,39
Arkansas,636,2020,12,39
Arkansas,640,2020,13,39
Arkansas,606,2020,14,39
Arkansas,634,2020,15,39
Arkansas,637,2020,16,39
Arkansas,614,2020,17,39
Arkansas,630,2020,18,39
Arkansas,661,2020,19,39
Arkansas,582,2020,20,39
Arkansas,641,2020,21,39
Arkansas,610,2020,22,39
Arkansas,647,2020,23,39
Arkansas,650,2020,24,39
Arkansas,704,2020,25,39
Arkansas,663,2020,26,39
Arkansas,684,2020,27,39
Arkansas,658,2020,28,39
Arkansas,689,2020,29,39
Arkansas,709,2020,30,39
Arkansas,735,2020,31,39
Arkansas,721,2020,32,39
Arkansas,756,2020,33,39
Arkansas,723,2020,34,39
Arkansas,717,2020,35,39
Arkansas,665,2020,36,39
Arkansas,657,2020,37,39
Arkansas,529,2020,38,39
Arkansas,262,2020,39,39
California,5887,2020,1,39
California,5870,2020,2,39
California,5828,2020,3,39
California,5827,2020,4,39
California,5682,2020,5,39
California,5912,2020,6,39
California,5584,2020,7,39
California,5796,2020,8,39
California,5679,2020,9,39
California,5731,2020,10,39
California,5461,2020,11,39
California,5676,2020,12,39
California,5687,2020,13,39
California,5978,2020,14,39
California,6042,2020,15,39
California,6126,2020,16,39
California,5932,2020,17,39
California,5737,2020,18,39
California,5658,2020,19,39
California,5679,2020,20,39
California,5523,2020,21,39
California,5582,2020,22,39
California,5502,2020,23,39
California,5545,2020,24,39
California,5472,2020,25,39
California,5672,2020,26,39
California,5867,2020,27,39
California,6004,2020,28,39
California,6191,2020,29,39
California,6203,2020,30,39
California,6287,2020,31,39
California,6248,2020,32,39
California,6215,2020,33,39
California,6364,2020,34,39
California,5729,2020,35,39
California,5450,2020,36,39
California,5193,2020,37,39
California,3840,2020,38,39
California,1410,2020,39,39
Colorado,854,2020,1,39
Colorado,872,2020,2,39
Colorado,848,2020,3,39
Colorado,852,2020,4,39
Colorado,792,2020,5,39
Colorado,846,2020,6,39
Colorado,807,2020,7,39
Colorado,880,2020,8,39
Colorado,842,2020,9,39
Colorado,821,2020,10,39
Colorado,822,2020,11,39
Colorado,890,2020,12,39
Colorado,859,2020,13,39
Colorado,966,2020,14,39
Colorado,1096,2020,15,39
Colorado,1104,2020,16,39
Colorado,1066,2020,17,39
Colorado,996,2020,18,39
Colorado,904,2020,19,39
Colorado,883,2020,20,39
Colorado,846,2020,21,39
Colorado,833,2020,22,39
Colorado,820,2020,23,39
Colorado,812,2020,24,39
Colorado,858,2020,25,39
Colorado,876,2020,26,39
Colorado,784,2020,27,39
Colorado,813,2020,28,39
Colorado,808,2020,29,39
Colorado,831,2020,30,39
Colorado,807,2020,31,39
Colorado,838,2020,32,39
Colorado,824,2020,33,39
Colorado,853,2020,34,39
Colorado,808,2020,35,39
Colorado,722,2020,36,39
Colorado,804,2020,37,39
Colorado,635,2020,38,39
Colorado,258,2020,39,39
Connecticut,632,2020,1,39
Connecticut,629,2020,2,39
Connecticut,639,2020,3,39
Connecticut,652,2020,4,39
Connecticut,680,2020,5,39
Connecticut,647,2020,6,39
Connecticut,632,2020,7,39
Connecticut,647,2020,8,39
Connecticut,632,2020,9,39
Connecticut,621,2020,10,39
Connecticut,625,2020,11,39
Connecticut,660,2020,12,39
Connecticut,736,2020,13,39
Connecticut,871,2020,14,39
Connecticut,1248,2020,15,39
Connecticut,1374,2020,16,39
Connecticut,1327,2020,17,39
Connecticut,1161,2020,18,39
Connecticut,1047,2020,19,39
Connecticut,944,2020,20,39
Connecticut,813,2020,21,39
Connecticut,746,2020,22,39
Connecticut,658,2020,23,39
Connecticut,625,2020,24,39
Connecticut,569,2020,25,39
Connecticut,587,2020,26,39
Connecticut,538,2020,27,39
Connecticut,598,2020,28,39
Connecticut,556,2020,29,39
Connecticut,568,2020,30,39
Connecticut,512,2020,31,39
Connecticut,467,2020,32,39
Connecticut,442,2020,33,39
Connecticut,354,2020,34,39
Connecticut,289,2020,35,39
Connecticut,70,2020,36,39
Connecticut,10,2020,37,39
Connecticut,,2020,38,39
Delaware,199,2020,1,39
Delaware,193,2020,2,39
Delaware,190,2020,3,39
Delaware,190,2020,4,39
Delaware,183,2020,5,39
Delaware,191,2020,6,39
Delaware,202,2020,7,39
Delaware,193,2020,8,39
Delaware,163,2020,9,39
Delaware,200,2020,10,39
Delaware,189,2020,11,39
Delaware,221,2020,12,39
Delaware,188,2020,13,39
Delaware,214,2020,14,39
Delaware,219,2020,15,39
Delaware,227,2020,16,39
Delaware,285,2020,17,39
Delaware,250,2020,18,39
Delaware,269,2020,19,39
Delaware,276,2020,20,39
Delaware,221,2020,21,39
Delaware,226,2020,22,39
Delaware,180,2020,23,39
Delaware,197,2020,24,39
Delaware,157,2020,25,39
Delaware,197,2020,26,39
Delaware,196,2020,27,39
Delaware,190,2020,28,39
Delaware,187,2020,29,39
Delaware,198,2020,30,39
Delaware,189,2020,31,39
Delaware,190,2020,32,39
Delaware,178,2020,33,39
Delaware,172,2020,34,39
Delaware,160,2020,35,39
Delaware,157,2020,36,39
Delaware,120,2020,37,39
Delaware,65,2020,38,39
Delaware,10,2020,39,39
District of Columbia,132,2020,1,39
District of Columbia,128,2020,2,39
District of Columbia,140,2020,3,39
District of Columbia,131,2020,4,39
District of Columbia,143,2020,5,39
District of Columbia,131,2020,6,39
District of Columbia,122,2020,7,39
District of Columbia,104,2020,8,39
District of Columbia,135,2020,9,39
District of Columbia,118,2020,10,39
District of Columbia,114,2020,11,39
District of Columbia,129,2020,12,39
District of Columbia,130,2020,13,39
District of Columbia,156,2020,14,39
District of Columbia,193,2020,15,39
District of Columbia,202,2020,16,39
District of Columbia,241,2020,17,39
District of Columbia,215,2020,18,39
District of Columbia,214,2020,19,39
District of Columbia,185,2020,20,39
District of Columbia,181,2020,21,39
District of Columbia,168,2020,22,39
District of Columbia,149,2020,23,39
District of Columbia,147,2020,24,39
District of Columbia,132,2020,25,39
District of Columbia,128,2020,26,39
District of Columbia,121,2020,27,39
District of Columbia,138,2020,28,39
District of Columbia,121,2020,29,39
District of Columbia,124,2020,30,39
District of Columbia,128,2020,31,39
District of Columbia,113,2020,32,39
District of Columbia,111,2020,33,39
District of Columbia,101,2020,34,39
District of Columbia,127,2020,35,39
District of Columbia,121,2020,36,39
District of Columbia,97,2020,37,39
District of Columbia,56,2020,38,39
District of Columbia,10,2020,39,39
Florida,4341,2020,1,39
Florida,4408,2020,2,39
Florida,4384,2020,3,39
Florida,4387,2020,4,39
Florida,4419,2020,5,39
Florida,4385,2020,6,39
Florida,4359,2020,7,39
Florida,4415,2020,8,39
Florida,4398,2020,9,39
Florida,4520,2020,10,39
Florida,4435,2020,11,39
Florida,4362,2020,12,39
Florida,4461,2020,13,39
Florida,4496,2020,14,39
Florida,4545,2020,15,39
Florida,4416,2020,16,39
Florida,4553,2020,17,39
Florida,4350,2020,18,39
Florida,4407,2020,19,39
Florida,4281,2020,20,39
Florida,4360,2020,21,39
Florida,4209,2020,22,39
Florida,4262,2020,23,39
Florida,4255,2020,24,39
Florida,4404,2020,25,39
Florida,4504,2020,26,39
Florida,4723,2020,27,39
Florida,5078,2020,28,39
Florida,5503,2020,29,39
Florida,5693,2020,30,39
Florida,5766,2020,31,39
Florida,5564,2020,32,39
Florida,5472,2020,33,39
Florida,5152,2020,34,39
Florida,4934,2020,35,39
Florida,4628,2020,36,39
Florida,4194,2020,37,39
Florida,3511,2020,38,39
Florida,1321,2020,39,39
Georgia,1799,2020,1,39
Georgia,1798,2020,2,39
Georgia,1739,2020,3,39
Georgia,1823,2020,4,39
Georgia,1789,2020,5,39
Georgia,1775,2020,6,39
Georgia,1753,2020,7,39
Georgia,1740,2020,8,39
Georgia,1852,2020,9,39
Georgia,1746,2020,10,39
Georgia,1778,2020,11,39
Georgia,1765,2020,12,39
Georgia,1872,2020,13,39
Georgia,2022,2020,14,39
Georgia,2023,2020,15,39
Georgia,2011,2020,16,39
Georgia,2024,2020,17,39
Georgia,1962,2020,18,39
Georgia,1975,2020,19,39
Georgia,1940,2020,20,39
Georgia,1885,2020,21,39
Georgia,1754,2020,22,39
Georgia,1745,2020,23,39
Georgia,1705,2020,24,39
Georgia,1724,2020,25,39
Georgia,1764,2020,26,39
Georgia,1829,2020,27,39
Georgia,1907,2020,28,39
Georgia,2086,2020,29,39
Georgia,2074,2020,30,39
Georgia,2065,2020,31,39
Georgia,2055,2020,32,39
Georgia,2090,2020,33,39
Georgia,2029,2020,34,39
Georgia,1834,2020,35,39
Georgia,1616,2020,36,39
Georgia,1411,2020,37,39
Georgia,875,2020,38,39
Georgia,268,2020,39,39
Hawaii,241,2020,1,39
Hawaii,241,2020,2,39
Hawaii,214,2020,3,39
Hawaii,242,2020,4,39
Hawaii,242,2020,5,39
Hawaii,235,2020,6,39
Hawaii,281,2020,7,39
Hawaii,249,2020,8,39
Hawaii,237,2020,9,39
Hawaii,239,2020,10,39
Hawaii,243,2020,11,39
Hawaii,212,2020,12,39
Hawaii,235,2020,13,39
Hawaii,234,2020,14,39
Hawaii,221,2020,15,39
Hawaii,211,2020,16,39
Hawaii,200,2020,17,39
Hawaii,222,2020,18,39
Hawaii,210,2020,19,39
Hawaii,230,2020,20,39
Hawaii,208,2020,21,39
Hawaii,200,2020,22,39
Hawaii,217,2020,23,39
Hawaii,203,2020,24,39
Hawaii,244,2020,25,39
Hawaii,234,2020,26,39
Hawaii,206,2020,27,39
Hawaii,224,2020,28,39
Hawaii,204,2020,29,39
Hawaii,218,2020,30,39
Hawaii,217,2020,31,39
Hawaii,229,2020,32,39
Hawaii,220,2020,33,39
Hawaii,242,2020,34,39
Hawaii,251,2020,35,39
Hawaii,227,2020,36,39
Hawaii,256,2020,37,39
Hawaii,185,2020,38,39
Hawaii,71,2020,39,39
Idaho,278,2020,1,39
Idaho,292,2020,2,39
Idaho,293,2020,3,39
Idaho,275,2020,4,39
Idaho,249,2020,5,39
Idaho,292,2020,6,39
Idaho,279,2020,7,39
Idaho,318,2020,8,39
Idaho,290,2020,9,39
Idaho,278,2020,10,39
Idaho,282,2020,11,39
Idaho,308,2020,12,39
Idaho,332,2020,13,39
Idaho,271,2020,14,39
Idaho,306,2020,15,39
Idaho,283,2020,16,39
Idaho,262,2020,17,39
Idaho,252,2020,18,39
Idaho,304,2020,19,39
Idaho,269,2020,20,39
Idaho,261,2020,21,39
Idaho,279,2020,22,39
Idaho,292,2020,23,39
Idaho,287,2020,24,39
Idaho,282,2020,25,39
Idaho,296,2020,26,39
Idaho,281,2020,27,39
Idaho,287,2020,28,39
Idaho,312,2020,29,39
Idaho,328,2020,30,39
Idaho,327,2020,31,39
Idaho,311,2020,32,39
Idaho,317,2020,33,39
Idaho,359,2020,34,39
Idaho,324,2020,35,39
Idaho,340,2020,36,39
Idaho,306,2020,37,39
Idaho,254,2020,38,39
Idaho,93,2020,39,39
Illinois,2189,2020,1,39
Illinois,2250,2020,2,39
Illinois,2231,2020,3,39
Illinois,2198,2020,4,39
Illinois,2138,2020,5,39
Illinois,2231,2020,6,39
Illinois,2218,2020,7,39
Illinois,2206,2020,8,39
Illinois,2209,2020,9,39
Illinois,2253,2020,10,39
Illinois,2192,2020,11,39
Illinois,2281,2020,12,39
Illinois,2302,2020,13,39
Illinois,2622,2020,14,39
Illinois,2869,2020,15,39
Illinois,2911,2020,16,39
Illinois,3006,2020,17,39
Illinois,2948,2020,18,39
Illinois,2960,2020,19,39
Illinois,2863,2020,20,39
Illinois,2632,2020,21,39
Illinois,2544,2020,22,39
Illinois,2508,2020,23,39
Illinois,2267,2020,24,39
Illinois,2250,2020,25,39
Illinois,2129,2020,26,39
Illinois,2179,2020,27,39
Illinois,2188,2020,28,39
Illinois,2084,2020,29,39
Illinois,2030,2020,30,39
Illinois,2064,2020,31,39
Illinois,2131,2020,32,39
Illinois,2112,2020,33,39
Illinois,2129,2020,34,39
Illinois,2086,2020,35,39
Illinois,2156,2020,36,39
Illinois,2000,2020,37,39
Illinois,1780,2020,38,39
Illinois,1250,2020,39,39
Indiana,1469,2020,1,39
Indiana,1386,2020,2,39
Indiana,1389,2020,3,39
Indiana,1421,2020,4,39
Indiana,1378,2020,5,39
Indiana,1362,2020,6,39
Indiana,1427,2020,7,39
Indiana,1406,2020,8,39
Indiana,1447,2020,9,39
Indiana,1368,2020,10,39
Indiana,1398,2020,11,39
Indiana,1326,2020,12,39
Indiana,1481,2020,13,39
Indiana,1578,2020,14,39
Indiana,1626,2020,15,39
Indiana,1506,2020,16,39
Indiana,1591,2020,17,39
Indiana,1520,2020,18,39
Indiana,1572,2020,19,39
Indiana,1565,2020,20,39
Indiana,1464,2020,21,39
Indiana,1371,2020,22,39
Indiana,1384,2020,23,39
Indiana,1383,2020,24,39
Indiana,1342,2020,25,39
Indiana,1370,2020,26,39
Indiana,1327,2020,27,39
Indiana,1339,2020,28,39
Indiana,1360,2020,29,39
Indiana,1297,2020,30,39
Indiana,1330,2020,31,39
Indiana,1302,2020,32,39
Indiana,1323,2020,33,39
Indiana,1298,2020,34,39
Indiana,1266,2020,35,39
Indiana,1156,2020,36,39
Indiana,1126,2020,37,39
Indiana,978,2020,38,39
Indiana,262,2020,39,39
Iowa,664,2020,1,39
Iowa,647,2020,2,39
Iowa,620,2020,3,39
Iowa,640,2020,4,39
Iowa,615,2020,5,39
Iowa,637,2020,6,39
Iowa,600,2020,7,39
Iowa,643,2020,8,39
Iowa,642,2020,9,39
Iowa,624,2020,10,39
Iowa,636,2020,11,39
Iowa,597,2020,12,39
Iowa,593,2020,13,39
Iowa,608,2020,14,39
Iowa,596,2020,15,39
Iowa,633,2020,16,39
Iowa,585,2020,17,39
Iowa,672,2020,18,39
Iowa,698,2020,19,39
Iowa,672,2020,20,39
Iowa,617,2020,21,39
Iowa,630,2020,22,39
Iowa,596,2020,23,39
Iowa,587,2020,24,39
Iowa,570,2020,25,39
Iowa,546,2020,26,39
Iowa,590,2020,27,39
Iowa,557,2020,28,39
Iowa,594,2020,29,39
Iowa,643,2020,30,39
Iowa,633,2020,31,39
Iowa,633,2020,32,39
Iowa,645,2020,33,39
Iowa,595,2020,34,39
Iowa,650,2020,35,39
Iowa,547,2020,36,39
Iowa,543,2020,37,39
Iowa,467,2020,38,39
Iowa,232,2020,39,39
Kansas,591,2020,1,39
Kansas,560,2020,2,39
Kansas,576,2020,3,39
Kansas,572,2020,4,39
Kansas,547,2020,5,39
Kansas,503,2020,6,39
Kansas,574,2020,7,39
Kansas,559,2020,8,39
Kansas,548,2020,9,39
Kansas,574,2020,10,39
Kansas,522,2020,11,39
Kansas,514,2020,12,39
Kansas,520,2020,13,39
Kansas,547,2020,14,39
Kansas,525,2020,15,39
Kansas,546,2020,16,39
Kansas,541,2020,17,39
Kansas,523,2020,18,39
Kansas,505,2020,19,39
Kansas,529,2020,20,39
Kansas,517,2020,21,39
Kansas,506,2020,22,39
Kansas,499,2020,23,39
Kansas,514,2020,24,39
Kansas,506,2020,25,39
Kansas,521,2020,26,39
Kansas,557,2020,27,39
Kansas,503,2020,28,39
Kansas,515,2020,29,39
Kansas,538,2020,30,39
Kansas,543,2020,31,39
Kansas,593,2020,32,39
Kansas,570,2020,33,39
Kansas,508,2020,34,39
Kansas,522,2020,35,39
Kansas,539,2020,36,39
Kansas,535,2020,37,39
Kansas,454,2020,38,39
Kansas,222,2020,39,39
Kentucky,1093,2020,1,39
Kentucky,1056,2020,2,39
Kentucky,1040,2020,3,39
Kentucky,941,2020,4,39
Kentucky,977,2020,5,39
Kentucky,955,2020,6,39
Kentucky,954,2020,7,39
Kentucky,991,2020,8,39
Kentucky,1016,2020,9,39
Kentucky,1004,2020,10,39
Kentucky,1017,2020,11,39
Kentucky,946,2020,12,39
Kentucky,936,2020,13,39
Kentucky,1045,2020,14,39
Kentucky,1024,2020,15,39
Kentucky,959,2020,16,39
Kentucky,968,2020,17,39
Kentucky,994,2020,18,39
Kentucky,1002,2020,19,39
Kentucky,991,2020,20,39
Kentucky,991,2020,21,39
Kentucky,985,2020,22,39
Kentucky,910,2020,23,39
Kentucky,988,2020,24,39
Kentucky,959,2020,25,39
