,jurisdiction,year,week,number_of_deaths,last_week
0,Alabama,2020,1,1080,2020W48
1,Alabama,2020,2,1127,2020W48
2,Alabama,2020,3,1039,2020W48
3,Alabama,2020,4,1053,2020W48
4,Alabama,2020,5,1025,2020W48
5,Alabama,2020,6,1117,2020W48
6,Alabama,2020,7,1094,2020W48
7,Alabama,2020,8,1097,2020W48
8,Alabama,2020,9,1161,2020W48
9,Alabama,2020,10,1053,2020W48
10,Alabama,2020,11,1091,2020W48
11,Alabama,2020,12,1057,2020W48
12,Alabama,2020,13,1072,2020W48
13,Alabama,2020,14,1153,2020W48
14,Alabama,2020,15,1133,2020W48
15,Alabama,2020,16,1142,2020W48
16,Alabama,2020,17,1137,2020W48
17,Alabama,2020,18,1147,2020W48
18,Alabama,2020,19,1168,2020W48
19,Alabama,2020,20,1146,2020W48
20,Alabama,2020,21,1150,2020W48
21,Alabama,2020,22,1105,2020W48
22,Alabama,2020,23,1166,2020W48
23,Alabama,2020,24,1134,2020W48
24,Alabama,2020,25,1087,2020W48
25,Alabama,2020,26,1148,2020W48
26,Alabama,2020,27,1196,2020W48
27,Alabama,2020,28,1253,2020W48
28,Alabama,2020,29,1287,2020W48
29,Alabama,2020,30,1325,2020W48
30,Alabama,2020,31,1356,2020W48
31,Alabama,2020,32,1363,2020W48
32,Alabama,2020,33,1293,2020W48
33,Alabama,2020,34,1289,2020W48
34,Alabama,2020,35,1204,2020W48
35,Alabama,2020,36,1205,2020W48
36,Alabama,2020,37,1220,2020W48
37,Alabama,2020,38,1172,2020W48
38,Alabama,2020,39,1165,2020W48
39,Alabama,2020,40,1079,2020W48
40,Alabama,2020,41,1174,2020W48
41,Alabama,2020,42,1155,2020W48
42,Alabama,2020,43,1101,2020W48
43,Alabama,2020,44,1092,2020W48
44,Alabama,2020,45,1149,2020W48
45,Alabama,2020,46,1083,2020W48
46,Alabama,2020,47,926,2020W48
47,Alabama,2020,48,658,2020W48
48,Alaska,2020,1,89,2020W48
49,Alaska,2020,2,105,2020W48
50,Alaska,2020,3,99,2020W48
51,Alaska,2020,4,97,2020W48
52,Alaska,2020,5,85,2020W48
53,Alaska,2020,6,92,2020W48
54,Alaska,2020,7,89,2020W48
55,Alaska,2020,8,83,2020W48
56,Alaska,2020,9,84,2020W48
57,Alaska,2020,10,79,2020W48
58,Alaska,2020,11,92,2020W48
59,Alaska,2020,12,69,2020W48
60,Alaska,2020,13,85,2020W48
61,Alaska,2020,14,98,2020W48
62,Alaska,2020,15,83,2020W48
63,Alaska,2020,16,80,2020W48
64,Alaska,2020,17,61,2020W48
65,Alaska,2020,18,87,2020W48
66,Alaska,2020,19,89,2020W48
67,Alaska,2020,20,83,2020W48
68,Alaska,2020,21,82,2020W48
69,Alaska,2020,22,97,2020W48
70,Alaska,2020,23,78,2020W48
71,Alaska,2020,24,88,2020W48
72,Alaska,2020,25,92,2020W48
73,Alaska,2020,26,88,2020W48
74,Alaska,2020,27,84,2020W48
75,Alaska,2020,28,100,2020W48
76,Alaska,2020,29,88,2020W48
77,Alaska,2020,30,92,2020W48
78,Alaska,2020,31,112,2020W48
79,Alaska,2020,32,100,2020W48
80,Alaska,2020,33,74,2020W48
81,Alaska,2020,34,113,2020W48
82,Alaska,2020,35,91,2020W48
83,Alaska,2020,36,102,2020W48
84,Alaska,2020,37,85,2020W48
85,Alaska,2020,38,101,2020W48
86,Alaska,2020,39,107,2020W48
87,Alaska,2020,40,69,2020W48
88,Alaska,2020,41,101,2020W48
89,Alaska,2020,42,88,2020W48
90,Alaska,2020,43,91,2020W48
