Jurisdiction of Occurrence,MMWR Year,MMWR Week,Week Ending Date,All Cause,Natural Cause,Septicemia (A40-A41),Malignant neoplasms (C00-C97),Diabetes mellitus (E10-E14),Alzheimer disease (G30),Influenza and pneumonia (J09-J18),Chronic lower respiratory diseases (J40-J47),"Other diseases of respiratory system (J00-J06,J30-J39,J67,J70-J98)","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Diseases of heart (I00-I09,I11,I13,I20-I51)",Cerebrovascular diseases (I60-I69),"COVID-19 (U071, Multiple Cause of Death)","COVID-19 (U071, Underlying Cause of Death)",flag_allcause,flag_natcause,flag_sept,flag_neopl,flag_diab,flag_alz,flag_inflpn,flag_clrd,flag_otherresp,flag_nephr,flag_otherunk,flag_hd,flag_stroke,flag_cov19mcod,flag_cov19ucod
United States,2020,1,2020-01-04,"60,164","55,019",846,"11,569","1,827","2,528","1,559","3,501","1,066","1,095",673,"14,196","3,107",2,2,,,,,,,,,,,,,,,
United States,2020,2,2020-01-11,"60,721","55,740",867,"11,963","1,939","2,564","1,529","3,709","1,035","1,092",694,"13,898","3,183",0,0,,,,,,,,,,,,,,,
United States,2020,3,2020-01-18,"59,351","54,519",831,"11,705","1,818","2,489","1,486","3,524",991,"1,124",665,"13,581","3,258",3,2,,,,,,,,,,,,,,,
United States,2020,4,2020-01-25,"59,141","54,394",829,"11,879","1,861","2,513","1,487","3,394",978,"1,111",698,"13,600","3,177",2,2,,,,,,,,,,,,,,,
United States,2020,5,2020-02-01,"58,801","54,007",811,"11,959","1,826","2,476","1,417","3,307",980,"1,075",679,"13,448","3,079",0,0,,,,,,,,,,,,,,,
United States,2020,6,2020-02-08,"59,369","54,339",812,"11,694","1,955","2,505","1,462","3,402",973,"1,134",667,"13,970","3,049",1,0,,,,,,,,,,,,,,,
United States,2020,7,2020-02-15,"58,786","53,973",799,"11,807","1,841","2,533","1,514","3,477",978,"1,070",683,"13,630","3,081",0,0,,,,,,,,,,,,,,,
United States,2020,8,2020-02-22,"58,865","53,987",781,"11,776","1,875","2,508","1,461","3,453",967,"1,054",682,"13,612","3,079",4,4,,,,,,,,,,,,,,,
United States,2020,9,2020-02-29,"59,279","54,291",820,"11,784","1,827","2,518","1,507","3,453","1,010","1,091",746,"13,693","3,122",9,8,,,,,,,,,,,,,,,
United States,2020,10,2020-03-07,"59,659","54,375",812,"11,708","1,860","2,507","1,607","3,465","1,003","1,074",737,"13,667","3,088",36,32,,,,,,,,,,,,,,,
United States,2020,11,2020-03-14,"58,634","53,528",764,"11,575","1,739","2,439","1,636","3,384",990,"1,076",741,"13,415","3,155",56,52,,,,,,,,,,,,,,,
United States,2020,12,2020-03-21,"59,166","54,304",844,"11,735","1,827","2,510","1,751","3,377","1,017","1,102",714,"13,169","3,061",574,537,,,,,,,,,,,,,,,
United States,2020,13,2020-03-28,"62,968","58,224",855,"11,776","2,040","2,742","1,794","3,515","1,062","1,031",722,"13,692","3,064","3,173","2,997",,,,,,,,,,,,,,,
United States,2020,14,2020-04-04,"72,238","67,433",946,"11,592","2,295","2,864","1,869","3,538","1,031","1,036",810,"14,928","3,156","10,058","9,564",,,,,,,,,,,,,,,
United States,2020,15,2020-04-11,"79,013","73,978",842,"11,548","2,348","2,953","1,633","3,442","1,029","1,124",770,"15,744","3,187","16,228","15,425",,,,,,,,,,,,,,,
United States,2020,16,2020-04-18,"76,700","71,846",750,"11,193","2,262","2,897","1,252","3,191",928,"1,095",777,"14,547","3,202","17,100","16,206",,,,,,,,,,,,,,,
United States,2020,17,2020-04-25,"73,848","68,753",739,"11,354","2,082","2,802","1,156","2,990",899,987,798,"13,855","3,054","15,467","14,574",,,,,,,,,,,,,,,
United States,2020,18,2020-05-02,"69,232","63,966",741,"11,095","1,926","2,722","1,017","2,923",857,963,687,"12,986","3,034","13,175","12,387",,,,,,,,,,,,,,,
United States,2020,19,2020-05-09,"66,760","61,243",722,"11,011","1,965","2,491",867,"2,802",868,943,757,"13,150","2,849","11,196","10,424",,,,,,,,,,,,,,,
United States,2020,20,2020-05-16,"64,423","59,032",681,"11,264","1,959","2,430",862,"2,768",789,980,713,"12,721","2,957","9,186","8,440",,,,,,,,,,,,,,,
United States,2020,21,2020-05-23,"61,572","56,058",718,"11,115","1,826","2,410",809,"2,678",754,922,726,"12,758","2,818","7,202","6,542",,,,,,,,,,,,,,,
United States,2020,22,2020-05-30,"59,613","54,032",654,"10,903","1,805","2,260",757,"2,633",761,895,732,"12,422","2,850","6,140","5,558",,,,,,,,,,,,,,,
